unemployed,employer,q2,q3,q4,q5,q6,providerCount,provider_udacity,provider_udemy,provider_coursera,provider_pluralsight,provider_lynda,stem,industry,age,male,income,region
0,0,8,6,5,7,7,0,,,,,,Unsure,Health,45-60,1,"$50,000-$74,999",Mountain
0,0,10,10,6,6,0,1,1,,,,,Yes,Education,45-60,1,"$25,000-$49,999",Mountain
0,1,10,6,0,9,0,1,,,1,,,No,Retail,18-29,0,"$10,000-$24,999",South Atlantic
0,0,6,6,0,7,7,0,,,,,,Unsure,Retail,> 60,0,"$10,000-$24,999",Mountain
0,0,0,0,0,0,0,1,1,,,,,No,Other,30-44,0,"$0-$9,999",Pacific
0,0,7,8,8,8,4,0,,,,,,Unsure,Manufacturing,45-60,1,"$100,000-$124,999",Middle Atlantic
1,0,5,7,5,2,5,1,1,,,,,No,Other,30-44,0,"$25,000-$49,999",Pacific
0,0,6,0,10,10,5,0,,,,,,No,Other,30-44,0,"$25,000-$49,999",New England
0,0,0,4,3,10,5,0,,,,,,Yes,Education,> 60,0,"$25,000-$49,999",Pacific
0,0,0,0,6,10,10,0,,,,,,Unsure,Health,45-60,0,"$25,000-$49,999",West South Central
0,1,7,7,5,8,9,1,,,1,,,No,Other,30-44,0,Prefer not to answer,Pacific
0,0,7,4,4,10,6,0,,,,,,No,Other,,,,
0,1,5,6,4,6,7,1,,,,,1,No,Law,45-60,0,"$50,000-$74,999",Pacific
0,1,6,7,7,9,9,1,,,1,,,No,Law,45-60,0,"$100,000-$124,999",Pacific
0,0,8,8,7,7,9,1,1,,,,,No,Manufacturing,45-60,0,"$125,000-$149,999",East North Central
1,0,8,7,6,6,6,1,,,1,,,No,Other,30-44,0,"$10,000-$24,999",South Atlantic
0,1,10,0,6,10,0,1,,,1,,,No,"Finance, Investment, or Accounting",45-60,0,"$10,000-$24,999",East South Central
0,0,7,7,6,7,6,1,1,,,,,No,Education,18-29,0,"$10,000-$24,999",South Atlantic
0,0,10,5,5,5,3,1,,,,,1,Yes,Health,18-29,0,"$10,000-$24,999",Pacific
1,0,10,7,0,9,5,0,,,,,,No,Other,> 60,0,Prefer not to answer,Pacific
1,0,8,8,0,7,9,0,,,,,,No,Military,> 60,1,"$25,000-$49,999",Mountain
1,0,6,4,5,7,7,0,,,,,,No,Manufacturing,> 60,1,Prefer not to answer,Pacific
1,0,7,10,4,5,10,1,,,,,1,No,Manufacturing,18-29,0,"$0-$9,999",Middle Atlantic
0,0,8,8,6,9,6,1,1,,,,,No,Retail,> 60,0,"$25,000-$49,999",Middle Atlantic
0,0,8,4,5,8,9,0,,,,,,No,Health,30-44,0,"$25,000-$49,999",New England
1,0,8,5,4,5,6,0,,,,,,No,Other,45-60,0,"$75,000-$99,999",Pacific
0,0,5,4,6,9,0,1,,,,,1,No,Health,30-44,0,"$25,000-$49,999",East South Central
0,0,0,3,7,0,2,1,,,1,,,Unsure,Health,18-29,0,"$0-$9,999",Middle Atlantic
0,1,6,10,5,8,7,1,,,,,1,No,Other,45-60,0,"$150,000-$174,999",Pacific
0,0,8,9,8,9,8,1,,,,,1,No,Other,45-60,1,"$50,000-$74,999",Pacific
0,0,9,5,5,6,7,2,,1,1,,,No,Other,30-44,0,"$0-$9,999",West North Central
0,0,5,5,3,7,8,0,,,,,,No,Other,45-60,0,"$50,000-$74,999",Pacific
1,0,10,0,6,6,10,0,,,,,,No,Other,> 60,0,"$10,000-$24,999",South Atlantic
0,0,6,10,0,0,10,0,,,,,,No,Law,> 60,1,"$25,000-$49,999",South Atlantic
0,0,2,3,0,4,10,0,,,,,,No,Retail,> 60,0,"$150,000-$174,999",Pacific
1,0,5,5,2,7,8,0,,,,,,No,Education,> 60,0,"$25,000-$49,999",East North Central
0,0,8,7,9,2,6,0,,,,,,Yes,"Finance, Investment, or Accounting",45-60,0,Prefer not to answer,Pacific
0,0,8,3,8,10,10,1,,,,,1,No,Information Technology,,,,
0,1,7,6,5,7,8,0,,,,,,Unsure,Retail,45-60,0,Prefer not to answer,New England
0,0,7,5,6,5,6,1,,,,1,,No,Other,18-29,0,"$50,000-$74,999",Mountain
0,0,6,4,5,5,7,0,,,,,,No,Retail,18-29,0,"$75,000-$99,999",West South Central
0,0,10,10,10,10,8,1,,,,,1,No,Other,18-29,0,"$0-$9,999",Middle Atlantic
0,0,2,0,5,8,8,0,,,,,,Unsure,Retail,> 60,0,"$10,000-$24,999",South Atlantic
0,1,5,4,3,3,6,0,,,,,,No,Agriculture,> 60,0,"$25,000-$49,999",Middle Atlantic
0,1,10,9,7,10,3,1,,1,,,,Yes,Information Technology,30-44,0,"$50,000-$74,999",South Atlantic
0,0,3,0,5,10,5,2,,1,1,,,No,Health,30-44,0,"$25,000-$49,999",New England
0,0,8,9,5,10,4,0,,,,,,No,Health,45-60,0,"$25,000-$49,999",East North Central
0,0,10,5,0,8,7,1,1,,,,,Yes,Information Technology,18-29,1,Prefer not to answer,East North Central
1,0,8,4,0,9,10,0,,,,,,No,Information Technology,30-44,0,"$50,000-$74,999",East South Central
0,1,8,4,3,8,9,3,,1,1,,1,Yes,Retail,18-29,0,"$25,000-$49,999",West South Central
0,0,7,7,5,7,6,0,,,,,,No,Other,> 60,0,"$50,000-$74,999",Mountain
1,0,10,3,2,8,7,0,,,,,,Unsure,Health,> 60,1,"$25,000-$49,999",East North Central
0,1,7,5,7,7,9,1,,,1,,,No,Health,> 60,0,"$10,000-$24,999",South Atlantic
0,0,7,9,2,7,3,1,,1,,,,No,Other,> 60,1,"$100,000-$124,999",Pacific
1,0,3,0,0,7,10,0,,,,,,No,"Finance, Investment, or Accounting",> 60,0,Prefer not to answer,Mountain
0,0,10,8,2,9,6,1,,,,1,,No,Health,45-60,0,Prefer not to answer,Pacific
0,0,0,0,0,0,0,0,,,,,,No,Other,45-60,0,"$25,000-$49,999",Middle Atlantic
1,0,7,8,7,8,4,1,,,,,1,No,Other,30-44,0,"$10,000-$24,999",West South Central
1,0,4,5,10,5,0,0,,,,,,No,Other,18-29,0,"$0-$9,999",West South Central
0,1,6,4,9,6,8,1,,,,,1,Unsure,Law,30-44,0,"$200,000+",South Atlantic
0,0,10,0,3,5,10,0,,,,,,No,Other,18-29,0,"$150,000-$174,999",West South Central
0,0,8,7,7,7,6,1,,,,1,,No,Other,45-60,0,"$0-$9,999",Pacific
,,,,,,,0,,,,,,,,,,,
,,4,7,2,2,9,0,,,,,,No,Education,> 60,0,"$150,000-$174,999",East North Central
,,6,3,5,7,8,0,,,,,,Unsure,Other,30-44,0,"$50,000-$74,999",Pacific
,,3,3,10,10,4,3,1,1,,,1,No,Information Technology,30-44,1,"$50,000-$74,999",East South Central
,,8,7,5,10,2,0,,,,,,Unsure,Other,45-60,0,"$10,000-$24,999",West North Central
,,8,8,7,8,9,1,1,,,,,No,Other,> 60,1,"$50,000-$74,999",South Atlantic
,,10,5,6,6,3,0,,,,,,No,Health,18-29,0,"$50,000-$74,999",Pacific
,,5,5,4,6,4,0,,,,,,No,Other,45-60,0,Prefer not to answer,West South Central
