School Type,Test Taker Count,Rank Alternativeness,Total Score,Math,Reading,Writing
Home School,13549,5,1623,521,567,535
Public,1306039,1,1471,501,492,478
Religious,142783,2,1597,537,533,527
Independent,102358,4,1657,580,535,542
Other and Unknown,121215,3,1521,558,479,484
